person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,male,Bachelor,49144.0,0,OWN,6000.0,EDUCATION,8.0,0.12,3.0,658,No,0
29.0,male,Master,46433.0,8,RENT,1500.0,PERSONAL,12.53,0.03,7.0,560,No,1
26.0,male,Master,58280.0,3,RENT,9000.0,PERSONAL,12.59,0.15,3.0,630,No,0
23.0,female,Bachelor,102554.0,0,MORTGAGE,3600.0,DEBTCONSOLIDATION,6.03,0.04,2.0,675,Yes,0
22.0,female,Master,85578.0,0,RENT,5000.0,VENTURE,11.14,0.06,4.0,648,No,0
24.0,male,High School,124297.0,3,MORTGAGE,5000.0,VENTURE,14.7,0.04,4.0,575,Yes,0
23.0,female,Bachelor,93805.0,0,RENT,3000.0,EDUCATION,9.63,0.03,2.0,661,No,0
26.0,female,Master,55639.0,0,MORTGAGE,6000.0,VENTURE,8.48,0.11,5.0,699,No,0
27.0,male,High School,144731.0,7,MORTGAGE,25000.0,HOMEIMPROVEMENT,16.07,0.17,10.0,650,Yes,0
23.0,male,Bachelor,92232.0,1,MORTGAGE,3600.0,MEDICAL,10.65,0.04,3.0,698,Yes,0
26.0,male,High School,300817.0,1,MORTGAGE,9257.0,EDUCATION,9.04,0.03,6.0,541,Yes,0
26.0,female,Bachelor,94635.0,2,RENT,24250.0,HOMEIMPROVEMENT,17.56,0.26,3.0,643,No,1
37.0,female,High School,65698.0,14,MORTGAGE,8000.0,MEDICAL,11.01,0.12,15.0,599,Yes,0
24.0,female,Associate,37727.0,2,RENT,8000.0,DEBTCONSOLIDATION,7.0,0.21,4.0,662,No,0
23.0,female,Associate,66068.0,1,MORTGAGE,4000.0,VENTURE,15.62,0.06,3.0,679,No,1
25.0,male,Bachelor,37160.0,2,RENT,3800.0,DEBTCONSOLIDATION,14.84,0.1,2.0,634,No,1
26.0,male,Master,65684.0,3,MORTGAGE,10000.0,EDUCATION,8.6,0.15,4.0,686,No,0
25.0,female,Master,83377.0,2,RENT,5600.0,MEDICAL,12.61,0.07,3.0,686,Yes,0
26.0,female,Master,169043.0,5,MORTGAGE,10000.0,DEBTCONSOLIDATION,10.67,0.06,5.0,688,Yes,0
24.0,male,Associate,72904.0,0,MORTGAGE,9700.0,MEDICAL,8.88,0.13,3.0,637,No,0
38.0,male,High School,67214.0,18,RENT,6000.0,PERSONAL,13.08,0.09,12.0,634,No,0
25.0,male,Associate,46825.0,3,MORTGAGE,9000.0,HOMEIMPROVEMENT,6.99,0.19,4.0,679,No,0
24.0,male,Bachelor,79295.0,2,RENT,7000.0,VENTURE,11.83,0.09,3.0,527,Yes,0
24.0,male,Master,46820.0,0,OWN,9600.0,EDUCATION,11.01,0.21,2.0,583,No,0
24.0,female,Bachelor,180986.0,1,MORTGAGE,25000.0,DEBTCONSOLIDATION,11.98,0.14,3.0,671,No,0
24.0,female,High School,94730.0,3,MORTGAGE,15000.0,PERSONAL,11.01,0.16,2.0,608,No,1
26.0,male,High School,100982.0,5,RENT,16500.0,MEDICAL,16.77,0.16,4.0,686,No,1
26.0,male,Associate,108810.0,4,RENT,10000.0,PERSONAL,7.49,0.09,4.0,619,Yes,0
23.0,male,Bachelor,18809.0,1,RENT,6000.0,MEDICAL,7.78,0.32,3.0,570,No,1
23.0,male,High School,28977.0,2,RENT,4500.0,MEDICAL,17.99,0.16,3.0,584,No,1
26.0,female,Associate,75020.0,4,MORTGAGE,2126.0,EDUCATION,12.04,0.03,3.0,723,Yes,0
22.0,male,Associate,85064.0,0,RENT,11200.0,EDUCATION,11.01,0.13,2.0,651,No,0
27.0,female,Associate,43183.0,5,RENT,5000.0,DEBTCONSOLIDATION,11.49,0.12,8.0,676,No,0
25.0,female,Bachelor,87232.0,0,MORTGAGE,16965.0,MEDICAL,7.5,0.19,4.0,638,No,0
35.0,female,Bachelor,192636.0,14,RENT,7500.0,MEDICAL,8.0,0.04,8.0,576,Yes,0
30.0,male,High School,109071.0,5,MORTGAGE,18000.0,PERSONAL,10.74,0.17,7.0,663,No,0
38.0,female,High School,55072.0,19,MORTGAGE,6375.0,DEBTCONSOLIDATION,7.51,0.12,16.0,622,Yes,0
25.0,male,High School,181182.0,2,MORTGAGE,22000.0,HOMEIMPROVEMENT,10.38,0.12,4.0,641,Yes,0
22.0,male,Bachelor,70655.0,0,RENT,12000.0,MEDICAL,11.01,0.17,3.0,566,No,1
22.0,male,Master,43867.0,0,RENT,2406.0,HOMEIMPROVEMENT,11.27,0.05,3.0,699,No,1
27.0,female,Bachelor,37088.0,2,RENT,2000.0,VENTURE,11.23,0.05,4.0,617,Yes,0
23.0,male,Bachelor,48784.0,0,RENT,3600.0,DEBTCONSOLIDATION,15.96,0.07,4.0,594,No,0
38.0,male,Associate,103240.0,16,RENT,14400.0,VENTURE,11.99,0.14,14.0,578,Yes,0
24.0,female,Master,45115.0,3,RENT,5500.0,VENTURE,9.2,0.12,3.0,720,No,0
24.0,female,Master,106518.0,0,RENT,29645.0,MEDICAL,17.07,0.28,3.0,653,No,1
23.0,male,Bachelor,89438.0,2,RENT,2800.0,VENTURE,15.21,0.03,2.0,634,No,1
25.0,female,Associate,108961.0,1,MORTGAGE,6000.0,PERSONAL,7.86,0.06,3.0,664,No,0
24.0,female,Master,57413.0,1,MORTGAGE,10000.0,DEBTCONSOLIDATION,13.79,0.17,4.0,660,Yes,0
34.0,male,Bachelor,47312.0,14,MORTGAGE,8000.0,EDUCATION,10.92,0.17,9.0,705,Yes,0
22.0,male,Master,58919.0,0,RENT,4000.0,EDUCATION,9.91,0.07,3.0,691,Yes,0
27.0,male,Associate,97205.0,4,RENT,12800.0,HOMEIMPROVEMENT,18.67,0.13,6.0,644,No,0
25.0,female,High School,57142.0,2,MORTGAGE,6000.0,MEDICAL,5.42,0.11,4.0,619,No,1
23.0,female,High School,90594.0,0,RENT,20000.0,MEDICAL,17.04,0.22,3.0,703,No,1
40.0,male,High School,35738.0,19,RENT,5400.0,DEBTCONSOLIDATION,10.37,0.15,15.0,662,Yes,0
34.0,female,High School,66781.0,9,MORTGAGE,2500.0,HOMEIMPROVEMENT,13.49,0.04,7.0,657,Yes,0
23.0,male,High School,73012.0,2,RENT,7000.0,EDUCATION,5.79,0.1,4.0,638,Yes,0
36.0,female,High School,79844.0,11,RENT,10000.0,EDUCATION,6.62,0.13,12.0,591,Yes,0
31.0,female,High School,44522.0,7,RENT,10000.0,PERSONAL,14.51,0.22,9.0,595,No,0
24.0,male,Master,73172.0,3,RENT,25000.0,PERSONAL,11.01,0.34,3.0,618,No,1
24.0,male,Associate,120754.0,3,MORTGAGE,20000.0,MEDICAL,6.17,0.17,4.0,652,No,0
29.0,female,Associate,101386.0,7,MORTGAGE,5900.0,HOMEIMPROVEMENT,7.66,0.06,9.0,646,Yes,0
31.0,female,High School,88569.0,9,RENT,8420.0,EDUCATION,8.24,0.1,9.0,667,Yes,0
22.0,male,High School,72903.0,0,MORTGAGE,5600.0,VENTURE,7.49,0.08,4.0,533,Yes,0
26.0,female,Bachelor,85244.0,1,RENT,10000.0,DEBTCONSOLIDATION,9.45,0.12,3.0,609,Yes,0
27.0,male,High School,84887.0,4,RENT,10000.0,EDUCATION,10.99,0.12,6.0,562,No,0
24.0,male,Associate,91028.0,2,MORTGAGE,12000.0,HOMEIMPROVEMENT,5.99,0.13,2.0,663,No,0
23.0,female,Bachelor,79086.0,3,MORTGAGE,15000.0,EDUCATION,14.5,0.19,4.0,561,No,0
23.0,female,Bachelor,29844.0,1,RENT,5250.0,EDUCATION,7.66,0.18,3.0,703,No,1
23.0,female,Bachelor,70228.0,1,MORTGAGE,10000.0,EDUCATION,13.11,0.14,3.0,593,No,0
25.0,male,Associate,180720.0,2,MORTGAGE,25000.0,EDUCATION,10.46,0.14,3.0,570,Yes,0
25.0,female,Master,68957.0,3,MORTGAGE,20000.0,VENTURE,13.61,0.29,2.0,675,Yes,0
28.0,male,Bachelor,36353.0,6,RENT,4500.0,EDUCATION,14.11,0.12,7.0,590,No,0
30.0,male,Associate,65715.0,3,RENT,16200.0,DEBTCONSOLIDATION,15.57,0.25,10.0,528,No,1
25.0,female,Associate,62348.0,2,RENT,20027.0,EDUCATION,10.87,0.32,4.0,625,No,1
32.0,female,Master,118539.0,8,MORTGAGE,6000.0,VENTURE,8.88,0.05,9.0,634,Yes,0
21.0,male,Master,81754.0,3,MORTGAGE,20000.0,VENTURE,17.74,0.24,2.0,715,No,1
34.0,female,Bachelor,15432.0,11,OWN,3250.0,HOMEIMPROVEMENT,10.99,0.21,5.0,715,No,1
32.0,female,High School,116381.0,12,MORTGAGE,20000.0,VENTURE,12.74,0.17,9.0,626,Yes,0
23.0,female,Associate,60621.0,0,RENT,10000.0,EDUCATION,11.71,0.16,3.0,646,No,0
29.0,male,High School,54971.0,6,MORTGAGE,7500.0,MEDICAL,9.32,0.14,7.0,626,Yes,0
23.0,female,Master,66328.0,1,MORTGAGE,5000.0,DEBTCONSOLIDATION,14.96,0.08,2.0,611,No,1
25.0,male,Bachelor,34602.0,0,RENT,12067.0,DEBTCONSOLIDATION,13.46,0.35,5.0,644,No,1
34.0,female,High School,57387.0,11,RENT,5000.0,EDUCATION,12.73,0.09,6.0,652,Yes,0
26.0,male,Associate,112130.0,2,MORTGAGE,1500.0,EDUCATION,9.63,0.01,2.0,551,Yes,0
23.0,male,Bachelor,73008.0,4,RENT,5000.0,DEBTCONSOLIDATION,6.91,0.07,3.0,661,Yes,0
24.0,male,High School,65654.0,0,MORTGAGE,2500.0,PERSONAL,15.97,0.04,2.0,554,Yes,0
23.0,female,Master,70858.0,0,RENT,8000.0,EDUCATION,10.37,0.11,2.0,531,Yes,0
27.0,female,Associate,81452.0,8,RENT,8000.0,VENTURE,6.76,0.1,4.0,706,Yes,0
31.0,female,Associate,124574.0,9,MORTGAGE,15000.0,VENTURE,11.01,0.12,6.0,543,Yes,0
31.0,female,Associate,241094.0,9,MORTGAGE,7800.0,MEDICAL,9.63,0.03,8.0,580,Yes,0
23.0,male,Master,37120.0,0,RENT,14029.0,MEDICAL,11.57,0.38,4.0,614,No,1
21.0,male,Master,35471.0,3,RENT,4600.0,PERSONAL,11.01,0.13,2.0,668,No,0
22.0,female,Associate,68496.0,0,MORTGAGE,17300.0,EDUCATION,15.62,0.25,4.0,589,Yes,0
28.0,female,Associate,66951.0,8,RENT,9000.0,HOMEIMPROVEMENT,11.01,0.13,8.0,629,No,1
25.0,female,Associate,96603.0,3,RENT,12000.0,MEDICAL,10.3,0.12,3.0,623,Yes,0
27.0,male,Associate,169139.0,4,RENT,9000.0,VENTURE,6.34,0.05,8.0,581,Yes,0
28.0,female,Bachelor,86371.0,8,MORTGAGE,7600.0,PERSONAL,6.03,0.09,9.0,638,No,0
25.0,male,High School,43979.0,1,OWN,5500.0,PERSONAL,14.86,0.13,4.0,615,No,0
23.0,male,Associate,73352.0,1,MORTGAGE,10000.0,DEBTCONSOLIDATION,11.71,0.14,4.0,523,Yes,0
34.0,male,Bachelor,117395.0,11,MORTGAGE,25000.0,HOMEIMPROVEMENT,17.96,0.21,9.0,634,No,0
36.0,male,High School,64453.0,12,RENT,12000.0,DEBTCONSOLIDATION,11.22,0.19,7.0,584,Yes,0
26.0,female,Master,60839.0,1,MORTGAGE,8000.0,DEBTCONSOLIDATION,6.62,0.13,4.0,592,Yes,0
27.0,male,Master,50941.0,7,RENT,4882.0,MEDICAL,12.03,0.1,5.0,731,Yes,0
23.0,male,Bachelor,72713.0,0,RENT,25000.0,PERSONAL,12.73,0.34,3.0,613,No,1
26.0,female,High School,49206.0,3,RENT,3600.0,DEBTCONSOLIDATION,7.52,0.07,4.0,664,Yes,0
23.0,male,Associate,22408.0,4,RENT,3235.0,PERSONAL,11.79,0.14,2.0,630,No,1
27.0,male,Bachelor,45863.0,3,RENT,8000.0,MEDICAL,12.87,0.17,6.0,583,No,0
38.0,female,Associate,234318.0,15,MORTGAGE,10000.0,HOMEIMPROVEMENT,12.82,0.04,10.0,608,No,0
23.0,male,Bachelor,51440.0,0,RENT,10000.0,PERSONAL,5.42,0.19,3.0,648,Yes,0
22.0,male,Bachelor,58327.0,0,RENT,7200.0,MEDICAL,9.62,0.12,4.0,645,Yes,0
22.0,male,Bachelor,91328.0,0,MORTGAGE,25000.0,HOMEIMPROVEMENT,11.78,0.27,3.0,633,Yes,0
38.0,male,Doctorate,79187.0,14,RENT,7000.0,VENTURE,7.88,0.09,11.0,728,Yes,0
27.0,female,Associate,56208.0,5,RENT,8659.0,EDUCATION,10.87,0.15,8.0,623,No,1
30.0,female,High School,91126.0,8,MORTGAGE,7000.0,HOMEIMPROVEMENT,7.43,0.08,11.0,679,No,0
33.0,male,Master,61049.0,11,RENT,6000.0,PERSONAL,14.96,0.1,5.0,623,Yes,0
29.0,male,High School,40024.0,8,MORTGAGE,4000.0,DEBTCONSOLIDATION,12.98,0.1,6.0,505,Yes,0
25.0,male,Bachelor,97162.0,4,MORTGAGE,5000.0,MEDICAL,7.51,0.05,3.0,610,Yes,0
31.0,female,High School,34864.0,10,RENT,2600.0,MEDICAL,10.08,0.07,7.0,659,Yes,0
25.0,female,Bachelor,80269.0,2,RENT,25000.0,EDUCATION,15.33,0.31,2.0,661,No,1
22.0,female,High School,61951.0,1,RENT,10000.0,EDUCATION,5.42,0.16,4.0,581,No,1
28.0,female,Bachelor,38370.0,2,RENT,4000.0,MEDICAL,11.49,0.1,7.0,709,No,0
22.0,male,Bachelor,82781.0,0,RENT,6000.0,EDUCATION,19.13,0.07,3.0,610,No,0
29.0,male,Bachelor,145183.0,5,MORTGAGE,5000.0,VENTURE,7.43,0.03,6.0,590,No,0
31.0,male,High School,129359.0,5,MORTGAGE,12000.0,EDUCATION,13.65,0.09,10.0,583,Yes,0
28.0,male,Associate,102482.0,6,MORTGAGE,9600.0,HOMEIMPROVEMENT,15.27,0.09,5.0,649,Yes,0
24.0,female,Master,82558.0,0,RENT,13500.0,EDUCATION,12.21,0.16,2.0,590,Yes,0
28.0,female,Bachelor,44388.0,7,RENT,3000.0,HOMEIMPROVEMENT,11.01,0.07,7.0,658,No,1
31.0,male,Doctorate,122129.0,9,MORTGAGE,18000.0,EDUCATION,8.49,0.15,6.0,710,No,0
23.0,male,High School,59911.0,3,RENT,17500.0,DEBTCONSOLIDATION,13.85,0.29,4.0,530,No,1
27.0,female,Bachelor,120705.0,3,MORTGAGE,10000.0,MEDICAL,12.24,0.08,9.0,595,Yes,0
38.0,female,High School,75579.0,14,MORTGAGE,15000.0,HOMEIMPROVEMENT,7.88,0.2,12.0,648,Yes,0
24.0,female,High School,63648.0,5,RENT,8000.0,HOMEIMPROVEMENT,10.99,0.13,4.0,540,Yes,0
24.0,male,High School,97000.0,3,MORTGAGE,9000.0,PERSONAL,11.01,0.09,2.0,680,No,0
27.0,male,Bachelor,54003.0,4,RENT,11750.0,EDUCATION,15.31,0.22,8.0,609,No,1
26.0,male,High School,75602.0,2,MORTGAGE,18000.0,PERSONAL,16.63,0.24,3.0,519,Yes,0
23.0,male,Bachelor,68264.0,4,RENT,2400.0,MEDICAL,8.9,0.04,3.0,666,Yes,0
25.0,female,Bachelor,52785.0,3,RENT,4000.0,EDUCATION,12.78,0.08,3.0,668,Yes,0
22.0,male,Bachelor,38105.0,2,RENT,10000.0,PERSONAL,11.01,0.26,4.0,656,No,1
27.0,female,Master,44033.0,2,MORTGAGE,4000.0,VENTURE,11.49,0.09,9.0,721,No,0
29.0,male,Associate,31024.0,10,OWN,8000.0,VENTURE,9.99,0.26,7.0,637,Yes,0
30.0,male,High School,97022.0,8,RENT,10000.0,DEBTCONSOLIDATION,12.21,0.1,6.0,513,No,1
25.0,male,High School,74201.0,5,RENT,6000.0,EDUCATION,11.01,0.08,4.0,646,Yes,0
25.0,female,Bachelor,31124.0,1,OWN,17500.0,MEDICAL,14.22,0.56,2.0,606,Yes,0
60.0,male,Bachelor,55787.0,37,RENT,20000.0,DEBTCONSOLIDATION,10.0,0.36,22.0,710,No,1
35.0,female,Associate,150963.0,13,RENT,7000.0,DEBTCONSOLIDATION,13.06,0.05,5.0,594,Yes,0
24.0,female,High School,52736.0,0,MORTGAGE,24000.0,DEBTCONSOLIDATION,10.62,0.46,2.0,604,Yes,0
26.0,female,Associate,56036.0,2,MORTGAGE,10000.0,EDUCATION,15.27,0.18,3.0,670,No,0
21.0,male,Bachelor,61558.0,1,RENT,5000.0,MEDICAL,10.37,0.08,3.0,652,No,0
27.0,female,Master,58351.0,6,RENT,2800.0,MEDICAL,7.49,0.05,5.0,591,Yes,0
30.0,female,Associate,78792.0,8,RENT,9600.0,PERSONAL,12.42,0.12,10.0,552,Yes,0
28.0,female,Bachelor,30969.0,6,RENT,4099.0,PERSONAL,11.58,0.13,6.0,615,Yes,0
23.0,male,Bachelor,66811.0,1,RENT,3000.0,EDUCATION,6.99,0.04,2.0,606,Yes,0
23.0,male,High School,36902.0,0,RENT,10000.0,HOMEIMPROVEMENT,14.01,0.27,3.0,660,No,1
23.0,male,High School,91099.0,0,MORTGAGE,19600.0,VENTURE,15.13,0.22,3.0,614,Yes,0
31.0,male,Bachelor,98364.0,6,MORTGAGE,5217.0,MEDICAL,10.89,0.05,5.0,674,No,0
22.0,male,Master,50139.0,0,RENT,2000.0,EDUCATION,6.62,0.04,3.0,687,Yes,0
32.0,male,Bachelor,55998.0,9,RENT,9000.0,MEDICAL,7.51,0.16,9.0,708,Yes,0
28.0,female,High School,130842.0,4,RENT,25000.0,EDUCATION,14.61,0.19,6.0,626,No,1
24.0,female,High School,54885.0,1,RENT,4000.0,EDUCATION,15.99,0.07,3.0,586,No,1
27.0,female,Bachelor,61570.0,6,MORTGAGE,5000.0,EDUCATION,7.51,0.08,5.0,612,Yes,0
25.0,female,High School,84355.0,1,MORTGAGE,7000.0,VENTURE,11.49,0.08,2.0,640,No,0
27.0,male,Bachelor,72662.0,6,MORTGAGE,7750.0,VENTURE,14.84,0.11,9.0,645,No,1
36.0,male,Bachelor,54627.0,16,RENT,20000.0,MEDICAL,11.36,0.37,14.0,648,No,1
24.0,male,Associate,42626.0,5,MORTGAGE,8575.0,MEDICAL,10.65,0.2,4.0,628,Yes,0
26.0,male,High School,203368.0,3,RENT,24250.0,MEDICAL,12.87,0.12,3.0,606,Yes,0
30.0,male,Master,55792.0,8,MORTGAGE,18000.0,MEDICAL,7.66,0.32,9.0,587,Yes,0
32.0,female,Associate,49169.0,9,RENT,7175.0,MEDICAL,12.99,0.15,6.0,637,Yes,0
29.0,female,High School,45178.0,8,RENT,6500.0,MEDICAL,11.01,0.14,8.0,595,Yes,0
22.0,male,High School,61027.0,1,RENT,4250.0,MEDICAL,12.69,0.07,4.0,627,Yes,0
27.0,male,Bachelor,102887.0,5,RENT,6000.0,DEBTCONSOLIDATION,9.89,0.06,4.0,670,Yes,0
31.0,female,Bachelor,68255.0,6,RENT,19240.0,MEDICAL,15.46,0.28,5.0,650,No,1
24.0,male,Master,26741.0,1,RENT,6600.0,EDUCATION,12.68,0.25,4.0,586,No,1
25.0,male,Bachelor,57426.0,2,RENT,6000.0,EDUCATION,12.87,0.1,3.0,684,No,0
31.0,female,Associate,25722.0,9,RENT,6225.0,MEDICAL,9.76,0.24,9.0,667,No,1
32.0,male,High School,70655.0,11,RENT,12000.0,PERSONAL,11.26,0.17,10.0,505,Yes,0
24.0,female,Bachelor,103379.0,2,OWN,27500.0,EDUCATION,11.99,0.27,2.0,669,No,0
31.0,female,Associate,60970.0,8,RENT,10000.0,MEDICAL,12.69,0.16,8.0,615,Yes,0
24.0,male,Bachelor,103932.0,4,MORTGAGE,20000.0,MEDICAL,11.01,0.19,4.0,702,No,1
22.0,female,Associate,97302.0,0,MORTGAGE,5000.0,VENTURE,13.15,0.05,2.0,611,Yes,0
22.0,female,Master,61281.0,0,RENT,11000.0,EDUCATION,11.01,0.18,3.0,664,No,0
23.0,male,Master,47672.0,0,MORTGAGE,5000.0,DEBTCONSOLIDATION,12.11,0.1,3.0,507,No,1
27.0,male,Master,46679.0,4,RENT,10000.0,VENTURE,9.76,0.21,5.0,651,Yes,0
33.0,male,Associate,76425.0,9,RENT,18400.0,DEBTCONSOLIDATION,9.91,0.24,7.0,685,Yes,0
27.0,female,Master,153334.0,5,MORTGAGE,21000.0,VENTURE,10.99,0.14,5.0,658,Yes,0
23.0,female,Bachelor,60829.0,0,MORTGAGE,7000.0,VENTURE,13.48,0.12,2.0,688,No,0
24.0,male,High School,61087.0,1,MORTGAGE,7000.0,PERSONAL,5.42,0.11,4.0,604,Yes,0
29.0,male,Doctorate,55228.0,4,MORTGAGE,4504.0,MEDICAL,10.5,0.08,6.0,613,No,0
34.0,male,Doctorate,180949.0,9,MORTGAGE,10000.0,MEDICAL,12.61,0.06,10.0,684,Yes,0
31.0,female,Associate,35578.0,7,RENT,6000.0,HOMEIMPROVEMENT,10.75,0.17,8.0,674,No,1
26.0,male,Bachelor,64592.0,4,MORTGAGE,8000.0,EDUCATION,7.86,0.12,2.0,677,Yes,0
43.0,male,High School,96961.0,20,MORTGAGE,10000.0,DEBTCONSOLIDATION,6.99,0.1,15.0,642,Yes,0
35.0,male,High School,87187.0,15,MORTGAGE,10757.0,DEBTCONSOLIDATION,7.45,0.12,9.0,539,No,0
30.0,female,Master,61048.0,12,RENT,16000.0,HOMEIMPROVEMENT,16.77,0.26,5.0,698,No,1
23.0,female,High School,77666.0,0,MORTGAGE,2100.0,EDUCATION,6.03,0.03,2.0,625,Yes,0
29.0,female,High School,58594.0,11,OWN,8000.0,HOMEIMPROVEMENT,13.49,0.14,9.0,532,Yes,0
24.0,female,Bachelor,55834.0,0,MORTGAGE,7500.0,EDUCATION,9.01,0.13,5.0,676,No,0
25.0,male,High School,52475.0,3,RENT,10000.0,EDUCATION,18.25,0.19,3.0,633,Yes,0
26.0,female,Associate,140421.0,7,MORTGAGE,20000.0,VENTURE,12.21,0.14,2.0,705,No,0
27.0,male,Associate,37105.0,4,RENT,4200.0,VENTURE,10.91,0.11,7.0,523,Yes,0
25.0,female,High School,37942.0,4,RENT,5000.0,VENTURE,9.06,0.13,2.0,658,Yes,0
29.0,male,Doctorate,71754.0,6,RENT,6000.0,EDUCATION,10.97,0.08,7.0,696,Yes,0
22.0,female,Master,58507.0,0,RENT,4800.0,DEBTCONSOLIDATION,12.98,0.08,2.0,675,Yes,0
29.0,female,Master,104327.0,9,MORTGAGE,8400.0,DEBTCONSOLIDATION,11.01,0.08,10.0,638,Yes,0
23.0,male,Master,67065.0,0,MORTGAGE,7000.0,EDUCATION,8.59,0.1,2.0,702,No,0
39.0,male,Associate,61107.0,19,MORTGAGE,8000.0,EDUCATION,7.68,0.13,14.0,674,Yes,0
22.0,male,Bachelor,28846.0,0,RENT,3000.0,EDUCATION,9.16,0.1,3.0,581,Yes,0
24.0,male,High School,25034.0,2,RENT,3000.0,VENTURE,11.01,0.12,4.0,531,Yes,0
24.0,male,Bachelor,58598.0,0,RENT,10000.0,PERSONAL,14.01,0.17,4.0,686,No,0
38.0,female,Associate,92361.0,14,MORTGAGE,3500.0,DEBTCONSOLIDATION,7.29,0.04,13.0,685,No,0
23.0,female,High School,97456.0,0,RENT,7800.0,VENTURE,9.99,0.08,2.0,669,Yes,0
30.0,male,Master,32559.0,4,OWN,1200.0,PERSONAL,10.99,0.04,6.0,685,Yes,0
31.0,male,High School,61236.0,8,RENT,6000.0,PERSONAL,15.62,0.1,10.0,618,Yes,0
25.0,male,Bachelor,29847.0,0,OWN,5000.0,MEDICAL,10.95,0.17,3.0,618,Yes,0
26.0,female,Bachelor,37294.0,3,OWN,9200.0,VENTURE,10.99,0.25,2.0,577,Yes,0
33.0,female,Associate,93336.0,10,MORTGAGE,12000.0,PERSONAL,7.29,0.13,10.0,620,No,0
23.0,male,Bachelor,30890.0,3,RENT,5000.0,EDUCATION,10.99,0.16,4.0,655,No,0
23.0,female,High School,84849.0,0,RENT,6684.0,VENTURE,8.69,0.08,3.0,612,No,0
30.0,female,Bachelor,42637.0,8,RENT,2629.0,DEBTCONSOLIDATION,11.85,0.06,4.0,735,Yes,0
47.0,female,Bachelor,75385.0,25,RENT,14027.0,VENTURE,12.74,0.19,12.0,626,Yes,0
31.0,female,High School,88377.0,9,MORTGAGE,12000.0,VENTURE,11.01,0.14,8.0,622,Yes,0
28.0,male,Master,29893.0,8,RENT,5000.0,PERSONAL,12.4,0.17,6.0,584,Yes,0
